position,model_type,rmse,mae,r2,correlation
QB,lgb,20.69579386404408,10.473651393324511,0.9877362269509484,0.9939313929521495
QB,catboost,14.24046188662154,7.745848543506599,0.9941935849509915,0.997511057902195
QB,ensemble,15.462910541133553,7.827278313618336,0.9931539130361944,0.9966193722539021
RB,lgb,14.440216740534554,7.0815331378536985,0.9944398854335496,0.9972475892236443
RB,catboost,15.142464380502592,5.544808319334579,0.9938859436344252,0.9970527188663358
RB,ensemble,12.401326976049647,5.24467174728286,0.9958991618094966,0.9980347009500324
WR,lgb,4.963963732641974,3.0350251429043094,0.9989991259898231,0.9995157702979942
WR,catboost,4.433549985018991,2.3418133162589934,0.9992015909873782,0.9996109963910681
WR,ensemble,3.591481958994349,1.9960746480208023,0.9994760744345871,0.9997528937316128
TE,lgb,11.207414547042234,4.197724486925655,0.9941102720156552,0.9971665360469284
TE,catboost,9.3682454264143,3.818425614971415,0.9958847058339991,0.9984932134128671
TE,ensemble,9.135453510666641,3.1742256611786743,0.9960866869712126,0.9983576277903368
