player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0037286,Kevin Harris,RB,NE,350.0,75,73.0,53.0,,Deep League
00-0037840,Kyren Williams,RB,LA,350.0,70,73.0,53.0,,Deep League
00-0036269,La'Mical Perine,RB,PIT,350.0,70,73.0,53.0,,Deep League
00-0036875,Rhamondre Stevenson,RB,NE,350.0,95,73.0,53.0,,Deep League
00-0035291,Trayveon Williams,RB,CIN,350.0,70,73.0,53.0,,Deep League
00-0039921,Trey Benson,RB,ARI,350.0,90,73.0,53.0,,Deep League
00-0036984,Trey Sermon,RB,IND,350.0,70,73.0,53.0,,Deep League
00-0037557,Ronnie Rivers,RB,LA,350.0,85,73.0,53.0,,Deep League
00-0039875,Ray Davis,RB,BUF,350.0,95,73.0,53.0,,Deep League
00-0037276,Ty Chandler,RB,MIN,350.0,70,73.0,53.0,,Deep League
00-0036973,Travis Etienne,RB,JAX,350.0,95,73.0,53.0,,Deep League
00-0037429,Raheem Blackshear,RB,CAR,350.0,85,73.0,53.0,,Deep League
00-0039032,Tyjae Spears,RB,TEN,350.0,90,73.0,53.0,,Deep League
00-0037263,Tyler Allgeier,RB,ATL,350.0,95,73.0,53.0,,Deep League
00-0036906,Khalil Herbert,RB,CIN,350.0,95,73.0,53.0,,Deep League
00-0037256,Rachaad White,RB,TB,350.0,95,73.0,53.0,,Deep League
00-0035973,Patrick Taylor,RB,SF,350.0,85,73.0,53.0,,Deep League
00-0037085,Tyler Badie,RB,DEN,350.0,75,73.0,53.0,,Deep League
00-0037120,Tyler Goodson,RB,IND,350.0,75,73.0,53.0,,Deep League
00-0034433,Nick Bawden,RB,HOU,350.0,85,73.0,53.0,,Deep League
00-0039021,Roschon Johnson,RB,CHI,350.0,90,73.0,53.0,,Deep League
00-0036893,Najee Harris,RB,PIT,350.0,95,73.0,53.0,,Deep League
00-0037827,Tyrion Davis-Price,RB,PHI,350.0,85,73.0,53.0,,Deep League
00-0033556,Tarik Cohen,RB,NYJ,350.0,85,73.0,53.0,,Deep League
00-0039384,Tyrone Tracy Jr.,RB,NYG,350.0,95,73.0,53.0,,Deep League
00-0036924,Michael Carter,RB,ARI,350.0,85,73.0,53.0,,Deep League
00-0037745,Velus Jones Jr.,RB,CAR,350.0,70,73.0,53.0,,Deep League
00-0038098,Pierre Strong,RB,CLE,350.0,70,73.0,53.0,,Deep League
00-0038555,Tank Bigsby,RB,JAX,350.0,90,73.0,53.0,,Deep League
00-0036265,AJ Dillon,RB,GB,350.0,95,73.0,53.0,5.0,Handcuff
