player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0037545,Rashid Shaheed,WR,NO,245.17093908710285,High,264.1000015735626,15.0,27.0,136.0,52.0,,Deep League
00-0039589,Kameron Johnson,WR,TB,240.8005079091275,Low,,,23.5,143.0,53.0,,Deep League
00-0039920,Malachi Corley,WR,NYJ,240.8005079091275,Low,,,23.4,143.0,53.0,,Deep League
00-0039415,Brenden Rice,WR,LAC,240.8005079091275,Low,,,23.5,143.0,53.0,5.0,Deep League
00-0039853,Javon Baker,WR,NE,240.8005079091275,Low,,,23.5,143.0,53.0,,Deep League
00-0039919,Rome Odunze,WR,CHI,240.8005079091275,Low,,,23.4,143.0,53.0,,Deep League
00-0039849,Marvin Harrison Jr.,WR,ARI,240.8005079091275,Low,,,23.1,143.0,53.0,,Deep League
00-0034411,Russell Gage,WR,SF,237.05119331320688,High,315.1000061035156,13.0,29.6,151.0,59.0,,Deep League
00-0039928,Devin Carter,WR,CAR,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0039605,Jaxon Janke,WR,HOU,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0039560,Wayne Ruby,WR,JAX,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0039785,Hamze El-Zayat,WR,NYJ,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0039708,Devron Harper,WR,MIN,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0039579,Xavier White,WR,IND,236.078929322674,Low,,,,152.0,60.0,,Deep League
00-0036196,Gabe Davis,WR,JAX,234.26434357586288,High,263.39999847114086,16.0,26.5,158.0,66.0,,Deep League
00-0038559,Michael Wilson,WR,ARI,227.71925626856049,High,204.5,13.0,25.5,162.0,67.0,,Deep League
00-0038124,Christian Watson,WR,GB,222.95994280368063,High,174.3000007867813,11.0,26.3,165.0,68.0,,Deep League
00-0035216,Diontae Johnson,WR,HOU,222.6403210718189,High,290.3000030517578,14.0,29.2,166.0,69.0,,Deep League
00-0031236,Brandin Cooks,WR,DAL,218.46000942172526,High,318.5000014305115,17.0,31.9,168.0,70.0,5.0,Deep League
00-0037261,Khalil Shakir,WR,BUF,217.365312487448,High,249.5999984741211,18.0,25.6,169.0,71.0,,Deep League
00-0039869,David Wallis,WR,NE,216.76029800652628,Low,,,24.1,170.0,72.0,,Deep League
00-0039855,Jalen McMillan,WR,TB,215.35497680786068,Low,,,23.7,172.0,73.0,,Deep League
00-0039683,Marcus Rosemy-Jacksaint,WR,PHI,215.35497680786068,Low,,,23.6,172.0,73.0,,Deep League
00-0038621,Demario Douglas,WR,NE,215.18578517137072,High,214.70000219345093,14.0,24.7,174.0,75.0,,Deep League
00-0036988,Josh Palmer,WR,LAC,214.77206506208722,High,188.20000231266022,10.0,25.9,175.0,76.0,,Deep League
00-0039491,Jalen Coker,WR,CAR,214.2549199900908,Low,,,23.8,177.0,77.0,,Deep League
00-0039915,Ladd McConkey,WR,LAC,214.2549199900908,Low,,,23.8,177.0,77.0,,Deep League
00-0039636,Tre Mosley,WR,CIN,214.2549199900908,Low,,,23.9,177.0,77.0,,Deep League
00-0039665,Leon Johnson,WR,LAC,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0039792,Devontez Walker,WR,BAL,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0039739,Roman Wilson,WR,PIT,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0039810,Jermaine Burton,WR,CIN,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0038507,Grant DuBose,WR,MIA,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0039336,Jaaron Hayek,WR,KC,211.857034438709,Low,,,24.2,181.0,80.0,,Deep League
00-0035535,Darius Slayton,WR,NYG,209.9153896942692,High,255.0,17.0,28.6,187.0,86.0,,Deep League
00-0036980,Elijah Moore,WR,CLE,206.1235886720014,High,266.29999685287476,17.0,25.4,189.0,87.0,,Deep League
00-0037240,Jameson Williams,WR,DET,206.08839055147425,High,178.39999961853027,15.0,24.4,190.0,88.0,,Deep League
00-0033307,Kendrick Bourne,WR,NE,204.46586921748985,High,186.00000229477882,8.0,30.1,193.0,89.0,,Deep League
00-0036309,Darnell Mooney,WR,ATL,203.06309207946776,High,152.4000015258789,14.0,27.8,194.0,90.0,,Deep League
00-0034775,Christian Kirk,WR,JAX,201.61349112235246,High,274.26000460237265,12.0,28.8,195.0,91.0,,Deep League
00-0039379,Jamari Thrash,WR,CLE,201.2118181861043,Low,,,24.7,197.0,92.0,,Deep League
00-0039907,Ja'Lynn Polk,WR,NE,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039552,Joshua Cephus,WR,JAX,201.2118181861043,Low,,,24.5,197.0,92.0,,Deep League
00-0039891,Derek Slywka,WR,IND,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039781,JJ Laap,WR,LA,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039365,Jacob Cowing,WR,SF,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039451,Isaiah Williams,WR,CIN,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039439,Jalon Calhoun,WR,DET,201.2118181861043,Low,,,24.7,197.0,92.0,,Deep League
00-0038740,Jalen Moreno-Cropper,WR,DAL,201.2118181861043,Low,,,24.3,197.0,92.0,,Deep League
00-0038484,Joseph Ngata,WR,PHI,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039261,Isaiah Washington,WR,BAL,201.2118181861043,Low,,,24.3,197.0,92.0,,Deep League
00-0039511,Ahmarean Brown,WR,BUF,201.2118181861043,Low,,,24.7,197.0,92.0,5.0,Deep League
00-0039456,John Rhys Plumlee,WR,SEA,201.2118181861043,Low,,,24.7,197.0,92.0,,Deep League
00-0039236,Johnny Wilson,WR,PHI,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039747,Ainias Smith,WR,PHI,201.2118181861043,Low,,,24.3,197.0,92.0,5.0,Deep League
00-0039709,Ty James,WR,MIN,201.2118181861043,Low,,,24.4,197.0,92.0,,Deep League
00-0039848,OJ Hiliare,WR,ATL,201.2118181861043,Low,,,24.6,197.0,92.0,,Deep League
00-0039504,Ayir Asante,WR,NYG,201.2118181861043,Low,,,24.5,197.0,92.0,5.0,Deep League
00-0039437,Cornelius Johnson,WR,GB,201.2118181861043,Low,,,24.8,197.0,92.0,,Deep League
00-0039884,Tahj Washington,WR,MIA,201.2118181861043,Low,,,24.3,197.0,92.0,,Deep League
00-0039553,Brevin Easton,WR,JAX,201.2118181861043,Low,,,24.7,197.0,92.0,5.0,Deep League
