player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0023459,Aaron Rodgers,QB,NYJ,260.75172811524226,Low,0.0,1.0,41.7,118.0,40.0,1,Elite QB1
00-0038658,Adrian Martinez,QB,NYJ,102.49733937059321,Low,,,25.7,407.0,81.0,1,Elite QB1
00-0038579,Aidan O'Connell,QB,LV,305.15104262366214,High,183.32000124454498,11.0,27.0,88.0,34.0,1,Elite QB1
00-0039334,Andrew Peasley,QB,NYJ,102.49733937059321,Low,,,25.7,407.0,81.0,1,Elite QB1
00-0027973,Andy Dalton,QB,CAR,136.04206102985327,Medium,31.139999628067017,2.0,37.8,276.0,70.0,1,Elite QB1
00-0037175,Anthony Brown,QB,BUF,100.48758761822863,Low,,,27.1,436.0,104.0,1,Elite QB1
00-0039164,Anthony Richardson,QB,IND,321.98744127651884,Medium,99.18000030517578,4.0,23.3,81.0,33.0,1,Elite QB1
00-0039464,Austin Reed,QB,CHI,102.49733937059321,Low,,,25.5,407.0,81.0,1,Elite QB1
00-0038108,Bailey Zappe,QB,CLE,218.25821397073554,High,115.67999744415283,10.0,26.4,141.0,45.0,1,Elite QB1
00-0034855,Baker Mayfield,QB,TB,631.4105394785288,High,469.59999656677246,19.0,30.4,9.0,9.0,1,Elite QB1
00-0036384,Ben DiNucci,QB,NO,100.48758761822863,Low,,,28.8,436.0,104.0,1,Elite QB1
00-0039732,Bo Nix,QB,DEN,102.49733937059321,Low,,,25.5,407.0,81.0,1,Elite QB1
00-0032434,Brandon Allen,QB,SF,98.53304359785406,Medium,3.2799999937415123,1.0,33.0,461.0,122.0,2,QB1
00-0034955,Brett Rypien,QB,MIN,154.50804934104232,Medium,37.019999742507935,4.0,29.1,244.0,61.0,2,QB1
00-0037834,Brock Purdy,QB,SF,675.2592842744164,High,486.4599895477295,19.0,25.7,7.0,7.0,2,QB1
00-0039150,Bryce Young,QB,CAR,354.62478204304267,High,244.3799934387207,16.0,24.1,59.0,27.0,2,QB1
00-0033936,C.J. Beathard,QB,JAX,119.46329397548004,Medium,2.9999999701976776,4.0,31.8,308.0,74.0,2,QB1
00-0039163,C.J. Stroud,QB,HOU,669.8467196977892,High,414.9799995422363,17.0,23.9,8.0,8.0,2,QB1
00-0039918,Caleb Williams,QB,CHI,102.49733937059321,Low,,,23.8,407.0,81.0,2,QB1
00-0032950,Carson Wentz,QB,KC,192.61398581715656,Medium,42.61999988555908,1.0,32.7,178.0,53.0,2,QB1
00-0039534,Carter Bradley,QB,LV,102.49733937059321,Low,,,25.5,407.0,81.0,2,QB1
00-0028986,Case Keenum,QB,HOU,124.2807545771294,Medium,2.8199999928474426,2.0,37.5,299.0,73.0,2,QB1
00-0039657,Casey Bauman,QB,LAC,102.49733937059321,Low,,,25.3,407.0,81.0,2,QB1
00-0037324,Chris Oladokun,QB,KC,100.48758761822863,Low,,,28.0,436.0,104.0,2,QB1
00-0038582,Clayton Tune,QB,ARI,202.24404537171188,High,18.980000019073486,6.0,26.4,160.0,48.0,3,QB2
00-0033662,Cooper Rush,QB,DAL,173.5488196105179,Medium,12.259999692440033,7.0,31.8,216.0,56.0,3,QB2
00-0033077,Dak Prescott,QB,DAL,590.1555759011387,High,527.9599952697754,18.0,32.1,15.0,15.0,3,QB2
00-0035710,Daniel Jones,QB,MIN,388.39921114723404,High,109.96000099182129,6.0,28.3,46.0,24.0,3,QB2
00-0036898,Davis Mills,QB,HOU,142.49742077736312,Medium,22.15999984741211,6.0,26.9,269.0,67.0,3,QB2
00-0031280,Derek Carr,QB,NO,510.2888328773108,High,329.1199951171875,17.0,34.4,21.0,18.0,3,QB2
00-0033537,Deshaun Watson,QB,CLE,224.88534655982272,Medium,131.29999828338623,6.0,30.0,132.0,43.0,3,QB2
00-0038122,Desmond Ridder,QB,LV,272.5306701263126,High,281.1400035619736,15.0,26.0,110.0,37.0,3,QB2
00-0039801,Devin Leary,QB,BAL,102.49733937059321,Low,,,26.0,407.0,81.0,4,Backup
00-0038583,Dorian Thompson-Robinson,QB,CLE,154.1735725647456,High,41.599998474121094,7.0,25.8,246.0,62.0,4,Backup
00-0039851,Drake Maye,QB,NE,105.51196699914007,Low,,,23.0,392.0,77.0,4,Backup
00-0038385,Dresser Winn,QB,LA,100.48758761822863,Low,,,26.8,436.0,104.0,4,Backup
00-0035704,Drew Lock,QB,NYG,213.46024127633785,High,44.619999289512634,4.0,28.8,148.0,46.0,4,Backup
00-0037068,E.J. Perry,QB,JAX,100.48758761822863,Low,,,27.0,436.0,104.0,4,Backup
00-0035282,Easton Stick,QB,LAC,96.36706535824226,Medium,0.4599999934434891,1.0,30.0,467.0,123.0,4,Backup
00-0039331,Emory Jones,QB,ATL,102.49733937059321,Low,,,25.3,407.0,81.0,4,Backup
00-0035289,Gardner Minshew,QB,LV,372.85967014077227,High,274.1999969482422,16.0,29.3,50.0,26.0,4,Backup
00-0039482,Gavin Hardison,QB,MIA,100.48758761822863,Low,,,,436.0,104.0,4,Backup
