player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0037614,John Metchie III,WR,HOU,329.17633013351576,90,259.0,94.0,,Deep League
00-0036261,Brandon Aiyuk,WR,SF,328.9916443640363,85,260.0,95.0,5.0,Deep League
00-0037666,Jalen Tolbert,WR,DAL,328.6835793401841,70,261.0,96.0,,Deep League
00-0038117,Wan'Dale Robinson,WR,NYG,328.6835793401841,70,261.0,96.0,,Deep League
00-0037816,Romeo Doubs,WR,GB,328.01622759966483,95,263.0,98.0,,Deep League
00-0034521,Allen Lazard,WR,NYJ,327.9056437527871,85,264.0,99.0,5.0,Deep League
00-0034407,Ray-Ray McCloud,WR,ATL,327.8395157150667,70,265.0,100.0,,Deep League
00-0039907,Ja'Lynn Polk,WR,NE,327.14921666153043,90,268.0,101.0,,Deep League
00-0038977,Tank Dell,WR,HOU,327.01682415185826,75,269.0,102.0,,Deep League
00-0036182,Nick Westbrook-Ikhine,WR,TEN,326.5668663175971,95,270.0,103.0,,Deep League
00-0036626,Dyami Brown,WR,WAS,326.25521392094356,70,271.0,104.0,,Deep League
00-0035703,Miles Boykin,WR,SEA,326.1061309910897,70,272.0,105.0,,Deep League
00-0030279,Keenan Allen,WR,CHI,325.9937149020813,85,274.0,106.0,,Deep League
00-0033009,Tyler Boyd,WR,TEN,324.94744952678724,95,275.0,107.0,,Deep League
00-0030431,Robert Woods,WR,HOU,324.9139521181663,95,276.0,108.0,,Deep League
00-0035602,Alex Bachman,WR,LV,324.28355353385746,75,278.0,109.0,5.0,Deep League
00-0035215,Deonte Harty,WR,BAL,323.3335009065959,70,280.0,110.0,,Deep League
00-0033943,Josh Reynolds,WR,JAX,323.2307253305015,70,281.0,111.0,,Deep League
00-0038147,Daylen Baldwin,WR,ARI,323.0804956658211,75,282.0,112.0,,Deep League
00-0038519,Nikko Remigio,WR,KC,323.0804956658211,75,282.0,112.0,,Deep League
00-0035621,Nsimba Webster,WR,CHI,323.0804956658211,75,282.0,112.0,,Deep League
00-0039451,Isaiah Williams,WR,CIN,323.0804956658211,75,282.0,112.0,,Deep League
00-0038618,Xavier Hutchinson,WR,HOU,322.71240173062813,90,288.0,116.0,,Deep League
00-0034653,Deontay Burnett,WR,DAL,321.9231154339752,85,289.0,117.0,,Deep League
00-0034775,Christian Kirk,WR,JAX,321.81067577285086,85,290.0,118.0,,Deep League
00-0034777,DJ Chark,WR,LAC,321.74544436568374,70,291.0,119.0,,Deep League
