player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0033921,Chris Godwin,WR,TB,274.5131716132417,High,428.2000014781952,19.0,29.5,78.0,29.0,3,WR2,,333.0994944628915,-58.586322849649775,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0035719,Deebo Samuel Sr.,WR,SF,266.1903182872141,High,457.8000030517578,18.0,29.6,85.0,30.0,4,WR3,,323.0003862157488,-56.81006792853464,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0039067,Rashee Rice,WR,KC,264.81886559605107,High,492.1999999880791,20.0,25.4,86.0,31.0,4,WR3,,306.2531098729842,-41.43424427693316,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0033908,Cooper Kupp,WR,LA,264.0027013541863,High,307.600001513958,13.0,32.2,87.0,32.0,3,WR2,,327.8817886485364,-63.87908729435014,13.688,3.312,1.6,0.9,0.8051764705882354,High Risk
00-0034837,Calvin Ridley,WR,TEN,259.37723367515497,High,398.4000060558319,17.0,30.7,90.0,33.0,4,WR3,,314.73325999126587,-55.3560263161109,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0038977,Tank Dell,WR,HOU,251.812974636144,High,278.00000190734863,10.0,25.8,95.0,34.0,4,WR3,,291.21228359281963,-39.39930895667561,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0030279,Keenan Allen,WR,CHI,250.57043117723163,High,503.86000299453735,13.0,33.3,97.0,35.0,3,WR2,,348.6982097260099,-98.12777854877828,12.216,4.784,1.6,1.3,0.7185882352941177,Very High Risk
00-0036410,Tee Higgins,WR,CIN,245.09695296928209,High,233.5999984741211,12.0,26.6,100.0,36.0,4,WR3,,283.445455814816,-38.34850284553394,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0037816,Romeo Doubs,WR,GB,244.25982428035857,High,366.3000030517578,19.0,25.4,101.0,37.0,4,WR3,,282.4773478072174,-38.217523526858855,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0038393,Dontayvion Wicks,WR,GB,234.0152806279906,High,224.2599984779954,17.0,24.2,108.0,38.0,4,WR3,,270.62991637250616,-36.61463574451557,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0030564,DeAndre Hopkins,WR,KC,228.0002562705017,High,385.10000455379486,17.0,33.2,111.0,39.0,4,WR3,,308.01051784794413,-80.01026157744244,12.584,4.416,1.6,1.2,0.740235294117647,Very High Risk
00-0036261,Brandon Aiyuk,WR,SF,226.22758750006693,High,477.1000061035156,19.0,27.5,112.0,40.0,4,WR3,,261.62374064633593,-35.396153146269,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036407,Jerry Jeudy,WR,CLE,225.39998831617555,High,250.8000030517578,16.0,26.4,113.0,41.0,4,WR3,,260.66665315476087,-35.266664838585314,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0030035,Adam Thielen,WR,CAR,223.3262220544408,High,440.0000015497208,17.0,35.0,114.0,42.0,4,WR3,,285.02595907849053,-61.69973702404971,13.32,3.68,1.6,1.0,0.7835294117647059,High Risk
00-0034348,Courtland Sutton,WR,DEN,217.8151120564831,High,321.7000045776367,16.0,29.9,116.0,43.0,4,WR3,,264.3009925025134,-46.48588044603031,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0039337,Malik Nabers,WR,NYG,217.69949032511167,Low,,,22.1,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039901,Keon Coleman,WR,BUF,217.69949032511167,Low,,,22.3,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039868,Troy Franklin,WR,DEN,217.69949032511167,Low,,,22.6,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039890,Adonai Mitchell,WR,IND,217.69949032511167,Low,,,22.9,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039894,Xavier Worthy,WR,KC,217.69949032511167,Low,,,22.3,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039893,Brian Thomas Jr.,WR,JAX,217.69949032511167,Low,,,22.9,117.0,44.0,4,WR3,,247.88287578880767,-30.183385463696,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0038117,Wan'Dale Robinson,WR,NYG,214.3559172395239,High,260.70000076293945,15.0,24.7,124.0,50.0,4,WR3,,247.8945981681569,-33.538680928633,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0037545,Rashid Shaheed,WR,NO,212.0007532106125,High,264.1000015735626,15.0,27.0,125.0,51.0,4,WR3,,245.17093908710285,-33.17018587649039,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039920,Malachi Corley,WR,NYJ,211.47950488725135,Low,,,23.4,126.0,52.0,5,Deep League,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039849,Marvin Harrison Jr.,WR,ARI,211.47950488725135,Low,,,23.1,126.0,52.0,4,WR3,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039853,Javon Baker,WR,NE,211.47950488725135,Low,,,23.5,126.0,52.0,5,Deep League,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039415,Brenden Rice,WR,LAC,211.47950488725135,Low,,,23.5,126.0,52.0,5,Deep League,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039919,Rome Odunze,WR,CHI,211.47950488725135,Low,,,23.4,126.0,52.0,5,Deep League,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039589,Kameron Johnson,WR,TB,211.47950488725135,Low,,,23.5,126.0,52.0,4,WR3,,240.8005079091275,-29.321003021876123,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0032211,Tyler Lockett,WR,SEA,204.2148608695539,High,363.9000015258789,17.0,32.9,135.0,58.0,4,WR3,,275.87830854914307,-71.66344767958918,12.584,4.416,1.6,1.2,0.740235294117647,Very High Risk
00-0039708,Devron Harper,WR,MIN,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039928,Devin Carter,WR,CAR,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039605,Jaxon Janke,WR,HOU,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039579,Xavier White,WR,IND,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039785,Hamze El-Zayat,WR,NYJ,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039560,Wayne Ruby,WR,JAX,204.13883888490045,Low,,,,136.0,59.0,5,Deep League,,236.078929322674,-31.940090437773563,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036196,Gabe Davis,WR,JAX,202.56975591559907,High,263.39999847114086,16.0,26.5,145.0,65.0,5,Deep League,,234.26434357586288,-31.694587660263807,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0038559,Michael Wilson,WR,ARI,196.9101804204611,High,204.5,13.0,25.5,151.0,66.0,5,Deep League,,227.71925626856049,-30.809075848099383,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0034411,Russell Gage,WR,SF,195.3580716657664,High,315.1000061035156,13.0,29.6,153.0,67.0,5,Deep League,,237.05119331320688,-41.693121647440506,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0038124,Christian Watson,WR,GB,192.79477407141795,High,174.3000007867813,11.0,26.3,156.0,68.0,5,Deep League,,222.95994280368063,-30.16516873226269,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039855,Jalen McMillan,WR,TB,189.13234139655057,Low,,,23.7,159.0,69.0,5,Deep League,,215.35497680786068,-26.222635411310108,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039683,Marcus Rosemy-Jacksaint,WR,PHI,189.13234139655057,Low,,,23.6,159.0,69.0,5,Deep League,,215.35497680786068,-26.222635411310108,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039915,Ladd McConkey,WR,LAC,188.1662326736503,Low,,,23.8,161.0,71.0,5,Deep League,,214.2549199900908,-26.088687316440485,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039636,Tre Mosley,WR,CIN,188.1662326736503,Low,,,23.9,161.0,71.0,5,Deep League,,214.2549199900908,-26.088687316440485,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0039491,Jalen Coker,WR,CAR,188.1662326736503,Low,,,23.8,161.0,71.0,5,Deep League,,214.2549199900908,-26.088687316440485,14.93,2.07,0.9,1.0,0.878235294117647,Medium Risk
00-0037261,Khalil Shakir,WR,BUF,187.9570643273815,High,249.5999984741211,18.0,25.6,164.0,74.0,5,Deep League,,217.365312487448,-29.408248160066503,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039869,David Wallis,WR,NE,187.43390474681976,Low,,,24.1,165.0,75.0,5,Deep League,,216.76029800652628,-29.32639325970652,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0038621,Demario Douglas,WR,NE,186.0724142364205,High,214.70000219345093,14.0,24.7,167.0,76.0,5,Deep League,,215.18578517137072,-29.113370934950183,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0036988,Josh Palmer,WR,LAC,185.71466802427537,High,188.20000231266025,10.0,25.9,168.0,77.0,5,Deep League,,214.7720650620872,-29.057397037811825,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0035216,Diontae Johnson,WR,HOU,183.4818175421284,High,290.3000030517578,14.0,29.2,169.0,78.0,5,Deep League,,222.6403210718189,-39.158503529690506,14.01,2.99,1.3,1.0,0.8241176470588235,High Risk
00-0039739,Roman Wilson,WR,PIT,183.1940238970013,Low,,,24.2,170.0,79.0,5,Deep League,,211.857034438709,-28.663010541707703,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
00-0039665,Leon Johnson,WR,LAC,183.1940238970013,Low,,,24.2,170.0,79.0,5,Deep League,,211.857034438709,-28.663010541707703,14.7,2.3,1.0,1.0,0.8647058823529411,Medium Risk
