player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0038998,Jake Haener,QB,NO,4.583829111898846,Low,,,26.5,962.0,95.0,4,Backup,0.015,4.931968031789898,-0.34813891989105183,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0035251,Will Grier,QB,DAL,4.575662670594283,Low,,,30.4,963.0,96.0,4,Backup,0.0099999999999999,4.999117313631285,-0.42345464303700275,15.56,1.44,1.2,1.0,0.9152941176470588,Low Risk
00-0039464,Austin Reed,QB,CHI,4.529947496581533,Low,,,25.5,964.0,97.0,4,Backup,0.03,4.873994141891523,-0.34404664530998996,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0038385,Dresser Winn,QB,LA,4.525062072002708,Low,,,26.8,965.0,98.0,4,Backup,0.0099999999999999,4.868737672407977,-0.3436756004052688,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0039534,Carter Bradley,QB,LV,4.492663978091151,Low,,,25.5,966.0,99.0,4,Backup,0.0266666666666666,4.833878963768959,-0.3412149856778086,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0039575,Jason Bean,QB,IND,4.474022218845959,Low,,,25.7,967.0,100.0,4,Backup,0.0249999999999999,4.813821374707677,-0.3397991558617184,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0038391,Sean Clifford,QB,GB,4.4694158312741274,Low,,,27.1,968.0,101.0,4,Backup,0.0199999999999999,4.808865134915201,-0.3394493036410733,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0037068,E.J. Perry,QB,JAX,4.454842072789979,Low,,,27.0,969.0,102.0,4,Backup,0.0066666666666666,4.793184508698078,-0.33834243590809976,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0035282,Easton Stick,QB,LAC,4.441339836206121,Medium,0.4599999934434891,1.0,30.0,970.0,103.0,4,Backup,0.0025,4.778656785791396,-0.3373169495852748,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0038598,Jaren Hall,QB,SEA,4.405411764705883,Low,,,27.4,971.0,104.0,4,Backup,0.0199999999999999,4.74,-0.33458823529411763,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0037175,Anthony Brown,QB,BUF,4.392591004523918,Low,,,27.1,972.0,105.0,4,Backup,0.0013333333333333,4.72620551119662,-0.33361450667270276,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0035146,Trace McSorley,QB,WAS,4.368235294117647,Medium,15.799999952316284,2.0,30.0,973.0,106.0,4,Backup,0.0166666666666666,4.7,-0.3317647058823532,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0038583,Dorian Thompson-Robinson,QB,CLE,4.349647058823529,Medium,41.59999847412109,7.0,25.8,974.0,107.0,4,Backup,0.015,4.68,-0.3303529411764705,15.8,1.2,1.0,1.0,0.9294117647058824,Low Risk
00-0028986,Case Keenum,QB,HOU,4.330069064746168,Medium,2.819999992847442,2.0,37.5,975.0,108.0,4,Backup,0.005,4.881377592883611,-0.5513085281374428,15.08,1.92,1.6,1.0,0.8870588235294118,Medium Risk
