player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label,starter_probability,original_projected_points,point_change,expected_games_played,injury_risk_score,age_multiplier,player_multiplier,games_adjustment,injury_risk_category
00-0034750,Rashaad Penny,RB,CAR,62.65060565263564,Medium,103.70000231266022,5.0,29.6,645.0,189.0,5,Handcuff,,84.12798547352337,-21.477379820887727,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0038797,Emanuel Wilson,RB,GB,62.08492549709454,Medium,47.00000047683716,7.0,26.3,646.0,190.0,5,Handcuff,,75.93120384536742,-13.846278348272882,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0036670,Jermar Jefferson,RB,DET,61.86999514489066,Medium,45.20000004768372,4.0,25.4,648.0,191.0,5,Handcuff,,75.6683393858375,-13.79834424094684,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0037157,Bam Knight,RB,NYJ,58.70958863356584,High,140.0,7.0,24.4,657.0,192.0,5,Handcuff,,71.80309401227477,-13.093505378708931,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0035973,Patrick Taylor,RB,SF,56.22298294786648,High,75.60000085830688,11.0,27.3,664.0,193.0,5,Handcuff,,75.49689653347,-19.27391358560352,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036370,Joshua Kelley,RB,TEN,52.49582279903747,High,150.20000004768372,17.0,27.8,680.0,194.0,5,Handcuff,,70.49202113614825,-17.996198337110783,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036020,Salvon Ahmed,RB,IND,51.42319955817104,High,42.50000047683716,7.0,26.7,681.0,195.0,5,Handcuff,,62.89168291287106,-11.46848335470002,13.9,3.1,1.0,1.0,0.8176470588235294,High Risk
00-0034808,John Kelly,RB,CLE,50.22606566069905,Medium,2.400000035762787,1.0,28.9,685.0,196.0,5,Handcuff,,67.4441639993589,-17.218098338659857,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0036450,Ke'Shawn Vaughn,RB,SF,50.129662826581445,High,21.40000030398369,5.0,28.3,687.0,197.0,5,Handcuff,,67.3147131162626,-17.18505028968115,12.66,4.34,1.4,1.0,0.7447058823529412,Very High Risk
00-0029892,Kyle Juszczyk,RB,SF,49.52025568881713,High,94.90000116825104,12.0,34.4,688.0,198.0,5,Handcuff,,73.71666783799398,-24.19641214917685,11.42,5.58,1.8,1.0,0.6717647058823529,Very High Risk
