player_id,player_name,position,team,projected_points,confidence,overall_rank,position_rank,tier,tier_label
00-0039797,Jordan Travis,QB,NYJ,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0034857,Josh Allen,QB,BUF,244.57701631726854,95,648.0,43.0,4.0,Backup
00-0026300,Josh Johnson,QB,BAL,188.92515416324056,85,720.0,97.0,4.0,Backup
00-0033949,Joshua Dobbs,QB,SF,279.3372987642184,70,472.0,24.0,4.0,Backup
00-0036945,Justin Fields,QB,PIT,243.5709016580423,95,651.0,45.0,4.0,Backup
00-0036355,Justin Herbert,QB,LAC,246.90112616992315,95,644.0,42.0,4.0,Backup
00-0039577,Kedon Slovis,QB,HOU,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0038102,Kenny Pickett,QB,PHI,239.92803443703872,85,663.0,57.0,4.0,Backup
00-0029604,Kirk Cousins,QB,ATL,242.48461358111416,85,654.0,48.0,4.0,Backup
00-0034577,Kyle Allen,QB,PIT,195.74804812234842,70,715.0,92.0,4.0,Backup
00-0036928,Kyle Trask,QB,TB,176.8443616484226,85,725.0,100.0,4.0,Backup
00-0035228,Kyler Murray,QB,ARI,309.0342854885484,70,349.0,5.0,4.0,Backup
00-0034796,Lamar Jackson,QB,BAL,306.46996998005955,95,362.0,6.0,4.0,Backup
00-0034438,Logan Woodside,QB,CIN,221.83385286689398,85,695.0,77.0,4.0,Backup
00-0034737,Luis Perez,QB,LAC,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0036972,Mac Jones,QB,JAX,243.2797010926214,70,652.0,46.0,4.0,Backup
00-0038128,Malik Willis,QB,GB,283.24548381569844,85,465.0,21.0,4.0,Backup
00-0032268,Marcus Mariota,QB,WAS,239.38915503346482,70,667.0,61.0,4.0,Backup
00-0034771,Mason Rudolph,QB,TEN,279.1536245875817,85,473.0,25.0,4.0,Backup
00-0038132,Matt Corral,QB,MIN,56.24020309220278,75,991.0,124.0,4.0,Backup
00-0026143,Matt Ryan,QB,ATL,240.6390524400952,95,657.0,51.0,4.0,Backup
00-0026498,Matthew Stafford,QB,LA,311.7845075877964,85,333.0,3.0,4.0,Backup
00-0038637,Max Duggan,QB,LAC,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0039917,Michael Penix Jr.,QB,ATL,235.50311945604778,75,678.0,66.0,4.0,Backup
00-0039238,Michael Pratt,QB,TB,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0034401,Mike White,QB,BUF,222.27434206290064,85,694.0,76.0,4.0,Backup
00-0033869,Mitchell Trubisky,QB,BUF,224.69125665579625,70,692.0,74.0,4.0,Backup
00-0032792,Nate Sudfeld,QB,DET,204.51692830188804,85,711.0,90.0,4.0,Backup
00-0033958,Nathan Peterman,QB,ATL,195.32185585035378,85,716.0,93.0,4.0,Backup
00-0038150,Nathan Rourke,QB,NYG,56.24020309220278,75,991.0,124.0,4.0,Backup
00-0033319,Nick Mullens,QB,MIN,180.98979164649458,70,722.0,99.0,4.0,Backup
00-0033275,PJ Walker,QB,SEA,291.11770338390556,85,443.0,12.0,4.0,Backup
00-0033873,Patrick Mahomes,QB,KC,250.1343946430684,85,555.0,38.0,4.0,Backup
00-0039633,Rocky Lombardi,QB,CIN,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0029263,Russell Wilson,QB,PIT,240.6390524400952,95,657.0,51.0,4.0,Backup
00-0034869,Sam Darnold,QB,MIN,289.82273848035,85,447.0,14.0,4.0,Backup
00-0036879,Sam Ehlinger,QB,IND,289.29072430391494,75,450.0,15.0,4.0,Backup
00-0039677,Sam Hartman,QB,WAS,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0037077,Sam Howell,QB,SEA,229.4013734141604,70,689.0,72.0,4.0,Backup
00-0038391,Sean Clifford,QB,GB,195.166797810551,75,717.0,94.0,4.0,Backup
00-0036679,Shane Buechele,QB,BUF,56.24020309220278,75,991.0,124.0,4.0,Backup
00-0037327,Skylar Thompson,QB,MIA,208.03430211544185,60,710.0,89.0,4.0,Backup
00-0039376,Spencer Rattler,QB,NO,242.25327166297936,75,655.0,49.0,4.0,Backup
00-0039107,Stetson Bennett,QB,LA,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0038400,Tanner McKee,QB,PHI,211.8897150444345,75,705.0,85.0,4.0,Backup
00-0039699,Tanner Mordecai,QB,SF,56.24020309220278,75,991.0,124.0,4.0,Backup
00-0031800,Taylor Heinicke,QB,LAC,209.6174173786608,70,707.0,87.0,4.0,Backup
00-0031237,Teddy Bridgewater,QB,DET,173.71085542116865,70,726.0,101.0,4.0,Backup
00-0034177,Tim Boyle,QB,NYG,269.385381873086,85,483.0,30.0,4.0,Backup
00-0038476,Tommy DeVito,QB,NYG,209.62725552757263,60,706.0,86.0,4.0,Backup
00-0035146,Trace McSorley,QB,WAS,267.63230683746866,85,490.0,31.0,4.0,Backup
00-0036971,Trevor Lawrence,QB,JAX,250.32364125755018,85,554.0,37.0,4.0,Backup
00-0032156,Trevor Siemian,QB,TEN,230.978723713,70,684.0,70.0,4.0,Backup
00-0037012,Trey Lance,QB,DAL,214.23165586545403,85,699.0,80.0,4.0,Backup
00-0036212,Tua Tagovailoa,QB,MIA,239.87758845262198,85,664.0,58.0,4.0,Backup
00-0035993,Tyler Huntley,QB,MIA,230.25676544832632,85,685.0,71.0,4.0,Backup
00-0028118,Tyrod Taylor,QB,NYJ,261.40577746686085,70,544.0,33.0,4.0,Backup
00-0038416,Tyson Bagent,QB,CHI,186.9860523452371,75,721.0,98.0,4.0,Backup
00-0035251,Will Grier,QB,DAL,213.36938806063125,75,700.0,81.0,4.0,Backup
00-0039152,Will Levis,QB,TEN,299.80638168283184,75,402.0,10.0,4.0,Backup
00-0037013,Zach Wilson,QB,DEN,240.5975504093496,85,659.0,53.0,4.0,Backup
00-0039597,Zack Annexstad,QB,TB,62.4593012347356,75,970.0,103.0,4.0,Backup
00-0036265,AJ Dillon,RB,GB,350.0,95,73.0,53.0,5.0,Handcuff
00-0033293,Aaron Jones,RB,MIN,367.5,95,1.0,1.0,5.0,Handcuff
00-0037609,Aaron Shampklin,RB,PIT,317.87163216241925,75,306.0,175.0,5.0,Handcuff
00-0036727,Adam Prentice,RB,NO,177.98826754919912,85,724.0,185.0,5.0,Handcuff
00-0039516,Aidan Robbins,RB,CLE,112.56899713850642,65,783.0,218.0,5.0,Handcuff
00-0035125,Alec Ingold,RB,MIA,356.09770970928696,85,67.0,51.0,5.0,Handcuff
00-0034972,Alexander Mattison,RB,LV,367.5,95,1.0,1.0,5.0,Handcuff
00-0033906,Alvin Kamara,RB,NO,367.5,95,1.0,1.0,5.0,Handcuff
00-0032104,Ameer Abdullah,RB,LV,367.5,70,1.0,1.0,5.0,Handcuff
00-0034959,Andrew Beck,RB,HOU,198.37874468677506,70,714.0,184.0,5.0,Handcuff
00-0036336,Anthony McFarland,RB,MIA,322.76408373606426,70,287.0,172.0,5.0,Handcuff
00-0036328,Antonio Gibson,RB,NE,367.5,95,1.0,1.0,5.0,Handcuff
00-0039373,Audric Estimé,RB,DEN,350.0,90,73.0,53.0,5.0,Handcuff
00-0033699,Austin Ekeler,RB,WAS,367.5,95,1.0,1.0,5.0,Handcuff
00-0039678,Austin Jones,RB,WAS,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0036950,Avery Williams,RB,ATL,350.0,95,73.0,53.0,5.0,Handcuff
00-0037157,Bam Knight,RB,NYJ,350.0,75,73.0,53.0,5.0,Handcuff
00-0038542,Bijan Robinson,RB,ATL,350.0,95,73.0,53.0,5.0,Handcuff
00-0039738,Blake Corum,RB,LA,350.0,95,73.0,53.0,5.0,Handcuff
00-0039573,Blake Watson,RB,DEN,336.975840483011,75,227.0,160.0,5.0,Handcuff
00-0034414,Boston Scott,RB,PIT,367.5,70,1.0,1.0,5.0,Handcuff
00-0039794,Braelon Allen,RB,NYJ,350.0,95,73.0,53.0,5.0,Handcuff
00-0038120,Breece Hall,RB,NYJ,350.0,70,73.0,53.0,5.0,Handcuff
00-0037746,Brian Robinson,RB,WAS,350.0,95,73.0,53.0,5.0,Handcuff
00-0039603,British Brooks,RB,HOU,233.50597258603696,75,679.0,181.0,5.0,Handcuff
00-0037329,Brittain Brown,RB,SEA,113.5295483200156,65,751.0,186.0,5.0,Handcuff
00-0037495,Bryant Koback,RB,SEA,113.5295483200156,65,751.0,186.0,5.0,Handcuff
