player_id,player_name,position,team,projected_points,confidence,prev_season_points,prev_season_games,age,overall_rank,position_rank,tier,tier_label
00-0039458,Brenden Bates,TE,CLE,30.0,Low,,,25.9,847.0,117.0,,Deep League
00-0038643,Brayden Willis,TE,SF,30.0,Low,,,25.8,847.0,117.0,,Deep League
00-0038488,Brady Russell,TE,SEA,30.0,Low,,,27.0,847.0,117.0,,Deep League
00-0038710,Blake Whiteheart,TE,CLE,30.0,Low,,,25.4,847.0,117.0,,Deep League
00-0037020,Bernhard Seikovits,TE,ARI,30.0,Low,,,28.1,847.0,117.0,,Deep League
00-0039912,Ben Sinnott,TE,WAS,30.0,Low,,,23.2,847.0,117.0,,Deep League
00-0036565,Ben Mason,TE,LAC,30.0,Low,,,26.3,847.0,117.0,,Deep League
00-0039316,Baylor Cupp,TE,KC,30.0,Low,,,25.3,847.0,117.0,,Deep League
00-0039728,Austin Stogner,TE,ATL,30.0,Low,,,25.6,847.0,117.0,,Deep League
00-0037168,Armani Rogers,TE,BUF,30.0,Medium,,,27.7,847.0,117.0,,Deep League
00-0039524,Alec Holler,TE,DAL,30.0,Low,,,26.1,847.0,117.0,,Deep League
00-0039631,Cam Grandy,TE,CIN,30.0,Low,,,25.8,847.0,117.0,,Deep League
00-0036692,Miller Forristall,TE,LA,30.0,Medium,,,27.5,847.0,117.0,,Deep League
00-0038468,Henry Pearson,TE,GB,30.0,Low,,,25.8,847.0,117.0,,Deep League
00-0037004,Hunter Long,TE,LA,30.0,Low,0.0,1.0,27.0,847.0,117.0,,Deep League
00-0037022,Michael Jacobson,TE,NO,30.0,Low,,,28.4,847.0,117.0,,Deep League
00-0038864,Michael Ezeike,TE,SEA,30.0,Low,,,25.0,847.0,117.0,,Deep League
00-0039275,Messiah Swinson,TE,GB,30.0,Low,,,25.4,847.0,117.0,,Deep League
00-0039263,McCallan Castles,TE,LAC,30.0,Low,,,25.7,847.0,117.0,,Deep League
00-0035436,Matt Sokol,TE,PIT,30.0,Low,,,29.8,847.0,117.0,,Deep League
00-0039702,Mason Pline,TE,SF,30.0,Low,,,25.6,847.0,117.0,,Deep League
00-0039942,Mason Fairchild,TE,NO,30.0,Low,,,24.0,847.0,117.0,,Deep League
00-0024243,Marcedes Lewis,TE,CHI,30.0,Medium,24.90000009536743,5.0,41.3,847.0,117.0,,Deep League
00-0039656,Luke Benson,TE,LAC,30.0,Low,,,24.4,847.0,117.0,,Deep League
00-0039287,Lincoln Sefcik,TE,NYJ,30.0,Low,,,26.1,847.0,117.0,,Deep League
00-0036145,Lawrence Cager,TE,WAS,30.0,High,81.30000019073486,8.0,28.0,847.0,117.0,,Deep League
00-0037724,La'Michael Pettway,TE,NE,30.0,Low,,,28.5,847.0,117.0,,Deep League
00-0034193,Kevin Rader,TE,NO,30.0,Medium,7.800000011920929,2.0,30.4,847.0,117.0,,Deep League
00-0039599,Kevin Foelsch,TE,PHI,30.0,Low,,,24.4,847.0,117.0,,Deep League
00-0036779,Hunter Kampmoyer,TE,DEN,30.0,Medium,,,27.6,847.0,117.0,,Deep League
00-0038590,Justin Shorter,TE,LV,30.0,Low,,,25.4,847.0,117.0,,Deep League
00-0038999,Jordan Murray,TE,NYG,30.0,Low,,,25.4,847.0,117.0,,Deep League
00-0038406,Zack Kuntz,TE,NYJ,30.0,Low,,,26.2,847.0,117.0,,Deep League
00-0038913,Johnny Lumpkin,TE,GB,30.0,Low,,,28.0,847.0,117.0,,Deep League
00-0038741,John Stephens Jr.,TE,DAL,30.0,Low,,,25.9,847.0,117.0,,Deep League
00-0038920,John Shenker,TE,LV,30.0,Low,,,27.0,847.0,117.0,,Deep League
00-0039023,Joel Wilson,TE,CHI,30.0,Low,,,25.2,847.0,117.0,,Deep League
00-0035562,Jesper Horsted,TE,CAR,30.0,Medium,12.399999976158142,2.0,28.5,847.0,117.0,,Deep League
00-0037755,Jelani Woods,TE,IND,30.0,Low,,,26.9,847.0,117.0,,Deep League
00-0037112,Jake Tonges,TE,SF,30.0,Low,,,26.2,847.0,117.0,,Deep League
00-0039420,Jaheim Bell,TE,NE,30.0,Low,,,24.2,847.0,117.0,,Deep League
00-0039695,Jacob Warren,TE,NE,30.0,Low,,,25.2,847.0,117.0,,Deep League
00-0039305,Jack Westover,TE,NE,30.0,Low,,,26.2,847.0,117.0,,Deep League
00-0039356,Ja'Tavion Sanders,TE,CAR,30.0,Low,,,22.4,847.0,117.0,,Deep League
00-0039452,Isaac Rex,TE,LAC,30.0,Low,,,,847.0,117.0,,Deep League
00-0036674,Josh Pederson,TE,JAX,30.0,Medium,,,27.9,847.0,117.0,,Deep League
00-0037340,Zaire Mitchell-Paden,TE,BAL,30.0,Low,,,26.0,847.0,117.0,,Deep League
