iter	RMSE
172	44.18830061
173	44.07275849
174	44.0196446
175	43.85013141
176	43.83075815
177	43.57514011
178	43.52946012
179	43.32986669
180	43.16367568
181	43.13931011
182	43.1062717
183	43.0456042
184	43.01471078
185	42.82466441
186	42.77463601
187	42.72190838
188	42.68057324
189	42.63662767
190	42.62158398
191	42.46398175
192	42.44342553
193	42.2998315
194	42.18245336
195	42.14914908
196	42.0184849
197	41.98604981
198	41.87940319
199	41.72721863
200	41.58214008
201	41.56907813
202	41.39026351
203	41.35737576
204	41.19707468
205	41.06524118
206	41.05048022
207	40.88967036
208	40.87312152
209	40.85800263
210	40.8421225
211	40.73656967
212	40.62407802
213	40.61174213
214	40.59635494
215	40.58159051
216	40.43504243
217	40.40069454
218	40.30500475
219	40.248796
220	40.04406601
221	39.93654455
222	39.91383583
223	39.70205239
224	39.68369657
225	39.5863945
226	39.4479751
227	39.31530511
228	39.19641613
229	39.15031655
230	39.04571333
231	39.00357432
232	38.85158645
233	38.72443191
234	38.58205712
235	38.4324103
236	38.41354019
237	38.38276592
238	38.17903481
239	38.141568
240	38.11255117
241	38.06743069
242	37.91154793
243	37.86748214
244	37.78702544
245	37.74613829
246	37.61439386
247	37.59733189
248	37.47485665
249	37.42201257
250	37.40604478
251	37.29665031
252	37.18310115
253	37.14346481
254	36.9486784
255	36.78314116
256	36.70193426
257	36.66858557
258	36.59166648
259	36.55440653
260	36.39953271
261	36.38680744
262	36.20523849
263	36.12348063
264	36.09468367
265	35.99247942
266	35.97645715
267	35.79446017
268	35.72737567
269	35.69275227
270	35.68073483
271	35.64699439
272	35.48544762
273	35.3511104
274	35.25195206
275	35.09063556
276	34.91832161
277	34.84803334
278	34.81307377
279	34.80136013
280	34.71562356
281	34.65601963
282	34.64538994
283	34.53686284
284	34.43631747
285	34.4037213
286	34.30265097
287	34.19715974
288	34.15909403
289	34.12343281
290	34.09626019
291	33.95331456
292	33.84821568
293	33.82172184
294	33.80614543
295	33.76195642
296	33.73792609
297	33.66066682
298	33.52521881
299	33.51568791
300	33.41940957
301	33.26313106
302	33.22286358
303	33.10492262
304	33.07125567
305	33.03233313
306	33.02142433
307	32.95260222
308	32.92122847
309	32.79421362
310	32.74184284
311	32.65805508
312	32.62094466
313	32.5796875
314	32.43477394
315	32.39275748
316	32.32341734
317	32.21564822
318	32.1913793
319	32.08509732
320	32.05758293
321	32.01946435
322	32.00989409
323	31.97715258
324	31.86300607
325	31.74995021
326	31.69625048
327	31.68557076
328	31.67885652
329	31.63073174
330	31.5571631
331	31.46870244
332	31.46229293
333	31.41435309
334	31.40835329
335	31.35959206
336	31.27503402
337	31.16831102
338	31.16247394
339	31.11767474
340	31.00289419
341	30.95961068
342	30.93552262
343	30.84805601
344	30.792575
345	30.78621296
346	30.78168882
347	30.75940961
348	30.74597451
349	30.71730534
350	30.63746816
351	30.57202215
352	30.5602797
353	30.47643337
354	30.45121143
355	30.37333243
356	30.23315502
357	30.21462547
358	30.18780601
359	30.16486645
360	30.15996619
361	30.15391491
362	30.10999044
363	30.02294491
364	29.93482975
365	29.84956198
366	29.72580131
367	29.70729783
368	29.70290278
369	29.63113771
370	29.53359613
371	29.45397565
372	29.37800224
373	29.3486865
374	29.19178073
375	29.10632765
376	29.02680449
377	29.02123881
378	28.91549142
379	28.89449817
380	28.8049004
381	28.71991405
382	28.71608487
383	28.70021189
384	28.57372542
385	28.57070888
386	28.56495205
387	28.53445463
388	28.45652048
389	28.37445469
390	28.353113
391	28.3501781
392	28.3472165
393	28.31401202
394	28.27491024
395	28.26660917
396	28.22247706
397	28.18687363
398	28.17890998
399	28.17129087
400	28.16400135
401	28.1570258
402	28.12366559
403	28.05171222
404	27.98838491
405	27.98544968
406	27.91624117
407	27.8789508
408	27.86332183
409	27.84841262
410	27.84592899
411	27.84359592
412	27.81672819
413	27.79513377
414	27.79294996
415	27.72500773
416	27.69125753
417	27.65755128
418	27.65553998
419	27.58728507
420	27.55334028
421	27.53055718
422	27.49316448
423	27.42599924
424	27.33827857
425	27.31832614
426	27.31545808
427	27.25487645
428	27.14335293
429	27.0382373
430	26.9670239
431	26.93705885
432	26.90156938
433	26.875394
434	26.79933558
435	26.772038
436	26.76021724
437	26.70090981
438	26.60179286
439	26.51689049
440	26.46669162
441	26.36960779
442	26.32699066
443	26.26959883
444	26.25852727
445	26.2087449
446	26.14198442
447	26.05283629
448	26.02850229
449	26.01275348
450	26.00725748
451	25.99202066
452	25.90930694
453	25.86160818
454	25.83131174
455	25.80844294
456	25.7350569
457	25.71065041
458	25.69134599
459	25.63490871
460	25.5649918
461	25.56027112
462	25.47666777
463	25.46277337
464	25.40037218
465	25.33783582
466	25.26226446
467	25.15266762
468	25.12176151
469	25.10823543
470	25.08375527
471	25.05172654
472	24.9763812
473	24.86162116
474	24.82341603
475	24.79829429
476	24.75417438
477	24.64372057
478	24.59767833
479	24.58506465
480	24.5733538
481	24.51997328
482	24.40989773
483	24.39680175
484	24.33794624
485	24.32784081
486	24.31972311
487	24.28949111
488	24.25099215
489	24.17636495
490	24.14670449
491	24.0926974
492	24.03836199
493	24.01871721
494	23.99844242
495	23.93471612
496	23.93080884
497	23.87993393
498	23.82825044
499	23.77320005
500	23.69738417
501	23.62414544
502	23.56078129
503	23.55916575
504	23.46405448
505	23.42051212
506	23.35432269
507	23.35273744
508	23.31293147
509	23.27774556
510	23.25775036
511	23.18748241
512	23.16765819
513	23.08501445
514	23.06841108
515	22.97083461
516	22.96835127
517	22.92986822
518	22.92763755
519	22.83890293
520	22.77557215
521	22.71694151
522	22.68103533
523	22.65672614
524	22.65545247
525	22.62390797
526	22.60839991
527	22.55727123
528	22.54095884
529	22.50097343
530	22.47105806
531	22.45457064
532	22.39385512
533	22.35820371
534	22.35613264
535	22.29308074
536	22.23896656
537	22.20132096
538	22.08563442
539	22.06982538
540	22.06730208
541	22.03929819
542	22.00787409
543	22.00576775
544	21.95118852
545	21.91793406
546	21.83375576
547	21.80157289
548	21.78822931
549	21.75800802
550	21.75605139
551	21.70526337
552	21.65561348
553	21.59407402
554	21.54159654
555	21.53708777
556	21.51402026
557	21.51182746
558	21.51054908
559	21.49714719
560	21.47636271
561	21.47530878
562	21.47360643
563	21.47209885
564	21.46241536
565	21.46093552
566	21.37214139
567	21.33672156
568	21.2389622
569	21.22431818
570	21.21265231
571	21.21161131
572	21.11067659
573	21.09205887
574	21.07384383
575	21.05747391
576	21.03645632
577	21.00345899
578	20.92131936
579	20.92036598
580	20.89109251
581	20.88033615
582	20.8295133
583	20.79047754
584	20.74580946
585	20.7130779
586	20.66285374
587	20.64325011
588	20.61558649
589	20.55709819
590	20.5011063
591	20.5002607
592	20.47529777
593	20.41022046
594	20.36487657
595	20.27825438
596	20.20381392
597	20.19864913
598	20.17401947
599	20.14351995
600	20.11765095
601	20.07390276
602	20.02317993
603	19.95957983
604	19.90612083
605	19.85338506
606	19.82034161
607	19.77935705
608	19.77208578
609	19.68268764
610	19.65836062
611	19.60274623
612	19.55035456
613	19.52480619
614	19.43690655
615	19.40366652
616	19.3591202
617	19.35768879
618	19.30600834
619	19.26725758
620	19.2134186
621	19.17096658
622	19.1172168
623	19.07893296
624	19.01487919
625	18.97663226
626	18.93074691
627	18.88226916
628	18.83878619
629	18.79499705
630	18.76296411
631	18.73332863
632	18.67896239
633	18.63338484
634	18.62115992
635	18.60500419
636	18.54516695
637	18.48611981
638	18.4446763
639	18.43288802
640	18.42103787
641	18.41629624
642	18.39723777
643	18.38306475
644	18.37834605
645	18.29973338
646	18.27013747
647	18.24277115
648	18.18715502
649	18.15167873
650	18.14132645
651	18.1151098
652	18.09667412
653	18.0864228
654	18.08121426
655	18.030127
656	18.00929534
657	17.98831437
658	17.97227638
659	17.89782634
660	17.86364139
661	17.83785888
662	17.83373417
663	17.8249214
