rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
55,RJ Harvey,RB,54.72,47,sfb15,2025-06-21 10:09:28.079129,high,55,['sfb15'],1,0.0
56,Quinshon Judkins,RB,56.09,47,sfb15,2025-06-21 10:09:28.079168,high,56,['sfb15'],1,0.0
57,James Conner,RB,57.17,47,sfb15,2025-06-21 10:09:28.079206,high,57,['sfb15'],1,0.0
58,Drake Maye,QB,57.57,47,sfb15,2025-06-21 10:09:28.079245,high,58,['sfb15'],1,0.0
59,Mike Evans,WR,60.79,47,sfb15,2025-06-21 10:09:28.079283,high,59,['sfb15'],1,0.0
60,Davante Adams,WR,62.66,47,sfb15,2025-06-21 10:09:28.079321,high,60,['sfb15'],1,0.0
61,Justin Fields,QB,62.74,47,sfb15,2025-06-21 10:09:28.079359,high,61,['sfb15'],1,0.0
62,T.J. Hockenson,TE,63.51,47,sfb15,2025-06-21 10:09:28.079398,high,62,['sfb15'],1,0.0
63,Tetairoa McMillan,WR,63.94,47,sfb15,2025-06-21 10:09:28.079438,high,63,['sfb15'],1,0.0
64,Brock Purdy,QB,64.79,47,sfb15,2025-06-21 10:09:28.079476,high,64,['sfb15'],1,0.0
65,David Montgomery,RB,66.21,47,sfb15,2025-06-21 10:09:28.079514,high,65,['sfb15'],1,0.0
66,DJ Moore,WR,67.4,47,sfb15,2025-06-21 10:09:28.079551,high,66,['sfb15'],1,0.0
67,DeVonta Smith,WR,69.55,47,sfb15,2025-06-21 10:09:28.079588,high,67,['sfb15'],1,0.0
68,Kaleb Johnson,RB,69.74,47,sfb15,2025-06-21 10:09:28.079627,high,68,['sfb15'],1,0.0
69,Isiah Pacheco,RB,71.28,47,sfb15,2025-06-21 10:09:28.079665,high,69,['sfb15'],1,0.0
70,DK Metcalf,WR,71.36,47,sfb15,2025-06-21 10:09:28.079703,high,70,['sfb15'],1,0.0
71,Travis Kelce,TE,71.96,47,sfb15,2025-06-21 10:09:28.079741,high,71,['sfb15'],1,0.0
72,C.J. Stroud,QB,73.51,47,sfb15,2025-06-21 10:09:28.079778,high,72,['sfb15'],1,0.0
73,Xavier Worthy,WR,73.55,47,sfb15,2025-06-21 10:09:28.079815,high,73,['sfb15'],1,0.0
74,Aaron Jones,RB,73.57,47,sfb15,2025-06-21 10:09:28.079853,high,74,['sfb15'],1,0.0
75,D’Andre Swift,RB,74.77,47,sfb15,2025-06-21 10:09:28.079891,high,75,['sfb15'],1,0.0
76,Dak Prescott,QB,79.3,47,sfb15,2025-06-21 10:09:28.079928,high,76,['sfb15'],1,0.0
77,Rome Odunze,WR,80.04,47,sfb15,2025-06-21 10:09:28.079967,high,77,['sfb15'],1,0.0
78,Jared Goff,QB,80.6,47,sfb15,2025-06-21 10:09:28.080005,high,78,['sfb15'],1,0.0
79,Tony Pollard,RB,80.66,47,sfb15,2025-06-21 10:09:28.080042,high,79,['sfb15'],1,0.0
80,Tyler Warren,TE,81.32,47,sfb15,2025-06-21 10:09:28.080079,high,80,['sfb15'],1,0.0
81,Zay Flowers,WR,81.79,47,sfb15,2025-06-21 10:09:28.080118,high,81,['sfb15'],1,0.0
82,Mark Andrews,TE,82.26,47,sfb15,2025-06-21 10:09:28.080155,high,82,['sfb15'],1,0.0
83,Courtland Sutton,WR,82.7,47,sfb15,2025-06-21 10:09:28.080192,high,83,['sfb15'],1,0.0
84,George Pickens,WR,83.91,47,sfb15,2025-06-21 10:09:28.080230,high,84,['sfb15'],1,0.0
85,Jameson Williams,WR,83.96,47,sfb15,2025-06-21 10:09:28.080268,high,85,['sfb15'],1,0.0
86,Jordan Love,QB,84.72,47,sfb15,2025-06-21 10:09:28.080306,high,86,['sfb15'],1,0.0
87,Jonnu Smith,TE,86.98,47,sfb15,2025-06-21 10:09:28.080341,high,87,['sfb15'],1,0.0
88,J.J. McCarthy,QB,87.26,47,sfb15,2025-06-21 10:09:28.080376,high,88,['sfb15'],1,0.0
89,Chris Olave,WR,87.79,47,sfb15,2025-06-21 10:09:28.080412,high,89,['sfb15'],1,0.0
90,Jaylen Waddle,WR,89.55,47,sfb15,2025-06-21 10:09:28.080448,high,90,['sfb15'],1,0.0
91,Evan Engram,TE,89.66,47,sfb15,2025-06-21 10:09:28.080483,high,91,['sfb15'],1,0.0
92,Brian Robinson,RB,90.09,47,sfb15,2025-06-21 10:09:28.080518,high,92,['sfb15'],1,0.0
93,Chris Godwin,WR,90.79,47,sfb15,2025-06-21 10:09:28.080553,high,93,['sfb15'],1,0.0
