rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
1,Bijan Robinson,RB,1.8,65,sfb15,2025-06-21 16:43:40.432707,high,1,['sfb15'],1,0.0
2,Ja’Marr Chase,WR,3.12,65,sfb15,2025-06-21 16:43:40.432806,high,2,['sfb15'],1,0.0
3,Lamar Jackson,QB,4.74,65,sfb15,2025-06-21 16:43:40.432849,high,3,['sfb15'],1,0.0
4,Josh Allen,QB,5.02,65,sfb15,2025-06-21 16:43:40.432892,high,4,['sfb15'],1,0.0
5,Saquon Barkley,RB,5.4,65,sfb15,2025-06-21 16:43:40.432933,high,5,['sfb15'],1,0.0
6,Jahmyr Gibbs,RB,5.95,65,sfb15,2025-06-21 16:43:40.432974,high,6,['sfb15'],1,0.0
7,Brock Bowers,TE,7.03,65,sfb15,2025-06-21 16:43:40.433014,high,7,['sfb15'],1,0.0
8,Jayden Daniels,QB,8.18,65,sfb15,2025-06-21 16:43:40.433055,high,8,['sfb15'],1,0.0
9,Ashton Jeanty,RB,10.34,65,sfb15,2025-06-21 16:43:40.433097,high,9,['sfb15'],1,0.0
10,Justin Jefferson,WR,10.65,65,sfb15,2025-06-21 16:43:40.433141,high,10,['sfb15'],1,0.0
11,CeeDee Lamb,WR,12.23,65,sfb15,2025-06-21 16:43:40.433183,high,11,['sfb15'],1,0.0
12,Jalen Hurts,QB,12.54,65,sfb15,2025-06-21 16:43:40.433226,high,12,['sfb15'],1,0.0
13,Trey McBride,TE,12.68,65,sfb15,2025-06-21 16:43:40.433268,high,13,['sfb15'],1,0.0
14,Joe Burrow,QB,14.85,65,sfb15,2025-06-21 16:43:40.433309,high,14,['sfb15'],1,0.0
15,Christian McCaffrey,RB,14.91,65,sfb15,2025-06-21 16:43:40.433350,high,15,['sfb15'],1,0.0
16,Malik Nabers,WR,16.2,65,sfb15,2025-06-21 16:43:40.433391,high,16,['sfb15'],1,0.0
17,Derrick Henry,RB,17.55,65,sfb15,2025-06-21 16:43:40.433433,high,17,['sfb15'],1,0.0
18,De’Von Achane,RB,17.72,65,sfb15,2025-06-21 16:43:40.433473,high,18,['sfb15'],1,0.0
19,Amon-Ra St. Brown,WR,18.58,65,sfb15,2025-06-21 16:43:40.433514,high,19,['sfb15'],1,0.0
20,Puka Nacua,WR,19.52,65,sfb15,2025-06-21 16:43:40.433555,high,20,['sfb15'],1,0.0
21,Bucky Irving,RB,23.32,65,sfb15,2025-06-21 16:43:40.433595,high,21,['sfb15'],1,0.0
22,Jonathan Taylor,RB,23.54,65,sfb15,2025-06-21 16:43:40.433637,high,22,['sfb15'],1,0.0
23,Brian Thomas,WR,23.77,65,sfb15,2025-06-21 16:43:40.433678,high,23,['sfb15'],1,0.0
24,Nico Collins,WR,24.38,65,sfb15,2025-06-21 16:43:40.433718,high,24,['sfb15'],1,0.0
25,Josh Jacobs,RB,25.26,65,sfb15,2025-06-21 16:43:40.433758,high,25,['sfb15'],1,0.0
26,Drake London,WR,27.31,65,sfb15,2025-06-21 16:43:40.433800,high,26,['sfb15'],1,0.0
27,Kyren Williams,RB,29.12,65,sfb15,2025-06-21 16:43:40.433839,high,27,['sfb15'],1,0.0
28,Patrick Mahomes,QB,30.15,65,sfb15,2025-06-21 16:43:40.433878,high,28,['sfb15'],1,0.0
29,Breece Hall,RB,30.92,65,sfb15,2025-06-21 16:43:40.433916,high,29,['sfb15'],1,0.0
30,Ladd McConkey,WR,31.2,65,sfb15,2025-06-21 16:43:40.433955,high,30,['sfb15'],1,0.0
31,Chase Brown,RB,32.11,65,sfb15,2025-06-21 16:43:40.433996,high,31,['sfb15'],1,0.0
32,A.J. Brown,WR,32.75,65,sfb15,2025-06-21 16:43:40.434035,high,32,['sfb15'],1,0.0
33,George Kittle,TE,35.51,65,sfb15,2025-06-21 16:43:40.434075,high,33,['sfb15'],1,0.0
34,Bo Nix,QB,35.54,65,sfb15,2025-06-21 16:43:40.434115,high,34,['sfb15'],1,0.0
35,Travis Hunter,WR,36.91,65,sfb15,2025-06-21 16:43:40.434155,high,35,['sfb15'],1,0.0
36,James Cook,RB,38.45,65,sfb15,2025-06-21 16:43:40.434195,high,36,['sfb15'],1,0.0
37,Alvin Kamara,RB,38.54,65,sfb15,2025-06-21 16:43:40.434234,high,37,['sfb15'],1,0.0
38,Marvin Harrison,WR,40.23,65,sfb15,2025-06-21 16:43:40.434274,high,38,['sfb15'],1,0.0
39,Garrett Wilson,WR,40.42,65,sfb15,2025-06-21 16:43:40.434314,high,39,['sfb15'],1,0.0
