rank,name,position,consensus_adp,mock_count,adp_source,last_updated,data_quality,overall_rank,sources,sources_count,adp_std
1,Bijan Robinson,RB,1.8,65,sfb15,2025-06-21 23:33:59.656629,high,1,['sfb15'],1,0.0
2,Ja’Marr Chase,WR,3.12,65,sfb15,2025-06-21 23:33:59.656692,high,2,['sfb15'],1,0.0
3,Lamar Jackson,QB,4.74,65,sfb15,2025-06-21 23:33:59.656735,high,3,['sfb15'],1,0.0
4,Josh Allen,QB,5.02,65,sfb15,2025-06-21 23:33:59.656778,high,4,['sfb15'],1,0.0
5,Saquon Barkley,RB,5.4,65,sfb15,2025-06-21 23:33:59.656819,high,5,['sfb15'],1,0.0
6,Jahmyr Gibbs,RB,5.95,65,sfb15,2025-06-21 23:33:59.656861,high,6,['sfb15'],1,0.0
7,Brock Bowers,TE,7.03,65,sfb15,2025-06-21 23:33:59.656903,high,7,['sfb15'],1,0.0
8,Jayden Daniels,QB,8.18,65,sfb15,2025-06-21 23:33:59.656944,high,8,['sfb15'],1,0.0
9,Ashton Jeanty,RB,10.34,65,sfb15,2025-06-21 23:33:59.656985,high,9,['sfb15'],1,0.0
10,Justin Jefferson,WR,10.65,65,sfb15,2025-06-21 23:33:59.657026,high,10,['sfb15'],1,0.0
11,CeeDee Lamb,WR,12.23,65,sfb15,2025-06-21 23:33:59.657071,high,11,['sfb15'],1,0.0
12,Jalen Hurts,QB,12.54,65,sfb15,2025-06-21 23:33:59.657112,high,12,['sfb15'],1,0.0
13,Trey McBride,TE,12.68,65,sfb15,2025-06-21 23:33:59.657153,high,13,['sfb15'],1,0.0
14,Joe Burrow,QB,14.85,65,sfb15,2025-06-21 23:33:59.657192,high,14,['sfb15'],1,0.0
15,Christian McCaffrey,RB,14.91,65,sfb15,2025-06-21 23:33:59.657232,high,15,['sfb15'],1,0.0
16,Malik Nabers,WR,16.2,65,sfb15,2025-06-21 23:33:59.657272,high,16,['sfb15'],1,0.0
17,Derrick Henry,RB,17.55,65,sfb15,2025-06-21 23:33:59.657313,high,17,['sfb15'],1,0.0
18,De’Von Achane,RB,17.72,65,sfb15,2025-06-21 23:33:59.657354,high,18,['sfb15'],1,0.0
19,Amon-Ra St. Brown,WR,18.58,65,sfb15,2025-06-21 23:33:59.657393,high,19,['sfb15'],1,0.0
20,Puka Nacua,WR,19.52,65,sfb15,2025-06-21 23:33:59.657433,high,20,['sfb15'],1,0.0
