Position,Our_Count,Our_Min,Our_Max,Our_Mean,Our_Std,FG_Count,FG_Min,FG_Max,FG_Mean,FG_Std
QB,129,93.87458913259444,263.5735286735113,209.7022247467052,53.63002150889798,42,95.83,547.29,333.6242857142857,125.31430946541751
RB,233,113.91960166760394,306.1215274024244,244.79425744684,67.74518755259795,80,129.64,404.17,203.4855,64.27150485600673
WR,419,114.73974830211098,286.5928530769451,224.349121284817,68.12381707658574,102,206.96,340.65,246.3294117647059,37.60639267395349
TE,215,106.58776745998424,236.86430393130087,187.61291002338822,54.70656893371741,75,136.67,224.42,155.74506666666667,23.5410274049218
