Position,Raw_Range,Enhanced_Range,FG_Range,Raw_Max,Enhanced_Max,FG_Max
QB,169.69893954091685,717.2522558372118,451.46,263.5735286735113,674.5626187238804,547.29
RB,192.20192573482046,644.4254238101282,274.53000000000003,306.1215274024244,633.9452226463524,404.17
WR,171.85310477483415,565.4068555472248,133.68999999999997,286.5928530769451,553.2772283426345,340.65
TE,130.27653647131663,583.1853707686514,87.75,236.86430393130087,584.8742728001146,224.42
